"GEOID10","GEOID20","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","CSA","CSA_Name","CBSA","CBSA_Name","CBSA_POP","CBSA_EMP","CBSA_WRK","Ac_Total","Ac_Water","Ac_Land","Ac_Unpr","TotPop","CountHU","HH","P_WrkAge","AutoOwn0","Pct_AO0","AutoOwn1","Pct_AO1","AutoOwn2p","Pct_AO2p","Workers","R_LowWageWk","R_MedWageWk","R_HiWageWk","R_PCTLOWWAGE","TotEmp","E5_Ret","E5_Off","E5_Ind","E5_Svc","E5_Ent","E8_Ret","E8_off","E8_Ind","E8_Svc","E8_Ent","E8_Ed","E8_Hlth","E8_Pub","E_LowWageWk","E_MedWageWk","E_HiWageWk","E_PctLowWage","D1A","D1B","D1C","D1C5_RET","D1C5_OFF","D1C5_IND","D1C5_SVC","D1C5_ENT","D1C8_RET","D1C8_OFF","D1C8_IND","D1C8_SVC","D1C8_ENT","D1C8_ED","D1C8_HLTH","D1C8_PUB","D1D","D1_FLAG","D2A_JPHH","D2B_E5MIX","D2B_E5MIXA","D2B_E8MIX","D2B_E8MIXA","D2A_EPHHM","D2C_TRPMX1","D2C_TRPMX2","D2C_TRIPEQ","D2R_JOBPOP","D2R_WRKEMP","D2A_WRKEMP","D2C_WREMLX","D3A","D3AAO","D3AMM","D3APO","D3B","D3BAO","D3BMM3","D3BMM4","D3BPO3","D3BPO4","D4A","D4B025","D4B050","D4C","D4D","D4E","D5AR","D5AE","D5BR","D5BE","D5CR","D5CRI","D5CE","D5CEI","D5DR","D5DRI","D5DE","D5DEI","D2A_Ranked","D2B_Ranked","D3B_Ranked","D4A_Ranked","NatWalkInd","Region","Households","Workers_1","Residents","Drivers","Vehicles","White","Male","Lowwage","Medwage","Highwage","W_P_Lowwage","W_P_Medwage","W_P_Highwage","GasPrice","logd1a","logd1c","logd3aao","logd3apo","d4bo25","d5dei_1","logd4d","UPTpercap","B_C_constant","B_C_male","B_C_ld1c","B_C_drvmveh","B_C_ld1a","B_C_ld3apo","B_C_inc1","B_C_gasp","B_N_constant","B_N_inc2","B_N_inc3","B_N_white","B_N_male","B_N_drvmveh","B_N_gasp","B_N_ld1a","B_N_ld1c","B_N_ld3aao","B_N_ld3apo","B_N_d4bo25","B_N_d5dei","B_N_UPTpc","C_R_Households","C_R_Pop","C_R_Workers","C_R_Drivers","C_R_Vehicles","C_R_White","C_R_Male","C_R_Lowwage","C_R_Medwage","C_R_Highwage","C_R_DrmV","NonCom_VMT_Per_Worker","Com_VMT_Per_Worker","VMT_per_worker","VMT_tot_min","VMT_tot_max","VMT_tot_avg","GHG_per_worker","Annual_GHG","SLC_score","Shape_Length","Shape_Area"
"490419753001","490419753001","49","041","975300","1",NA,NA,"",NA,0,0,0,33071.8390429,0,33071.8390429,1655.77086,1006,413,346,0.549,0,0,56,0.161849710983,290,0.838150289017,557,216,154,187,0.387791741472172,389,50,60,55,209,15,50,13,55,39,15,48,122,47,112,127,150,0.287917737789203,0.249430648876137,0.60757199217771,0.234935889619413,0.0301974151181764,0.0362368981418117,0.0332171566299941,0.126225195193977,0.00905922453545293,0.0301974151181764,0.00785132793072587,0.0332171566299941,0.0235539837921776,0.00905922453545293,0.0289895185134494,0.0736816928883505,0.0283855702110858,0.48436653849555,0,1.1242774566474,0.800226053226764,0.800226053226764,0.907548810124516,0.907548810124516,0.766322520446204,0.655702003195732,0.704573268977642,0.575237904828199,0,0,1.4318766066838,0.649289489725647,1.05751898077304,0.24876741479007,0.0425132706317723,0.766238295351198,1.23890298168333,0.0580554349429864,0.193518116476621,0.154814493181297,0.967590582383107,0.309628986362594,-99999,0,0,-99999,-99999,-99999,2600,2847,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,18,20,2,1,7.33333333333333,"Sevier County",354,557,928,569.36,699,914,394,216,154,187,0.287917737789203,0.326478149100257,0.38560411311054,230,0.222687966652185,0.211019057493164,0.222156996661219,0.568852028158803,0,0,0,0,4.777633,0.173537,-0.116806,-0.518439,0.237684,-0.300776,-0.007464,-0.006619,3.002147,0.025265,0.064488,-0.065749,0.056869,-0.150903,-0.003737,-0.192444,-0.192444,0.097368,-0.12458,-0.488428,-0.107014,-0.000782,7364,21280,9077,13834.48,17134,0.917011278195489,0.511325187969925,0.337446292828027,0.333700561859645,0.328853145312328,-0.448060836501901,9.29825530542835,34.4810538578347,43.7793091632631,20.5666259091527,59.4654003777945,35.6547329710685,39.0073644644674,10141.9147607615,40.3254123781632,64833.0604409581,133839920.042559
"490419755002","490419755002","49","041","975500","2",NA,NA,"",NA,0,0,0,194610.0847033,150.9469654,194459.1377379,36469.73355,1158,455,352,0.509,1,0.00284090909091,72,0.204545454545,279,0.792613636364,422,138,154,130,0.327014218009479,71,4,5,57,5,0,4,0,57,2,0,0,3,5,21,37,13,0.295774647887324,0.0124760988279828,0.0317523570171518,0.0019468198171138,0.000109679989696552,0.00013709998712069,0.00156293985317587,0.00013709998712069,0,0.000109679989696552,0,0.00156293985317587,5.4839994848276e-05,0,0,8.22599922724141e-05,0.00013709998712069,0.0144229186450966,0,0.201704545454545,0.513648124849074,0.442432412941703,0.471880698862763,0.365224350708178,0.355390038187237,0.224391965902313,0.177754040435473,8.20155126004525e-05,0,0,5.94366197183099,0.00712844634782661,1.44272101734631,0.211449878253867,0.0877044855289533,1.14356665356349,1.10190018577995,0.108608935767608,0.111900115639354,0.0263294389739656,1.24406599151987,0.171141353330776,-99999,0,0,-99999,-99999,-99999,347,802,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,6,5,1,1,2.5,"Sevier County",298,422,943,644.16,779,873,484,138,154,130,0.295774647887324,0.52112676056338,0.183098591549296,230,0.0123989136241097,0.00194492721938024,0.191817888775086,0.762471102240031,0,0,0,0,4.777633,0.173537,-0.116806,-0.518439,0.237684,-0.300776,-0.007464,-0.006619,3.002147,0.025265,0.064488,-0.065749,0.056869,-0.150903,-0.003737,-0.192444,-0.192444,0.097368,-0.12458,-0.488428,-0.107014,-0.000782,7364,21280,9077,13834.48,17134,0.917011278195489,0.511325187969925,0.337446292828027,0.333700561859645,0.328853145312328,-0.448060836501901,9.73097608307016,31.707529128721,41.4385052117911,20.5666259091527,59.4654003777945,35.6547329710685,36.9217081437059,9599.64411736353,46.3430928409731,165433.617493746,787576304.784618
"490050007021","490050007021","49","005","000702","1",NA,NA,"30860","Logan, UT-ID",135615,55707,64142,124.647124,0,124.647124,124.64712,156,63,63,0.859,0,0,16,0.253968253968,47,0.746031746032,44,20,15,9,0.454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505426840186921,1.2515331280819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505426840186921,0,0,0,0,0,0,0,0,0,0.367879441171442,0,1,0,0,14.324298134113,0,0.758636136137394,13.5656619979756,169.515343169891,0,5.13449471966959,0,225.917767665462,15.4034841590088,-99999,0,0,-99999,-99999,-99999,14141,14767,-99999,-99999,0.0142425350322449,0.731860055894835,0.0141486475092555,0.753802960694232,-99999,-99999,-99999,-99999,1,1,18,1,6.66666666666667,"Logan, UT-ID Metro Area",64,44,153,117.92,123,120,74,20,15,9,0.30651746818143,0.354010421115572,0.339472110702998,230,0.409076472731921,0,0,2.67866684066417,0,0,0,19,6.538675,0.193019,-0.081047,-0.598252,0.063351,-0.098369,-0.282434,-0.01635,2.952757,0.039092,0.0736,-0.06008,0.053744,-0.151556,-0.003672,-0.188022,-0.188022,0.098455,-0.125716,-0.50172,-0.115031,-0.000822,38393,124165,58535,80109.92,74608,0.836370957999436,0.500801353038296,0.30651746818143,0.354010421115572,0.339472110702998,0.143305290026828,6.19093780303074,13.1187054677377,19.3096432707684,12.9879851231033,31.9523338316293,19.9756043272126,17.2048921542546,4473.27196010621,66.6655668231677,3085.66518027616,504438.943340267
"490490031061","490490031061","49","049","003106","1","482","Salt Lake City-Provo-Orem, UT","39340","Provo-Orem, UT",601388,231279,261327,263.4849539,0,263.4849539,263.4849539,1372,377,358,0.546,10,0.0279329608939,71,0.198324022346,277,0.77374301676,651,184,254,213,0.282642089093702,146,0,0,9,137,0,0,0,9,22,0,0,115,0,62,62,22,0.424657534246575,1.43082173922949,5.20712845151952,0.554111336677734,0,0,0.0341575481513671,0.519953788526366,0,0,0,0.0341575481513671,0.083496228814453,0,0,0.436457559711913,0,1.98493307590722,0,0.407821229050279,0.333936063136367,0.14381843428815,0.587050789318265,0.310151162362735,0.60887639620871,0.394327626586342,0.4302336857148,0.926194915631964,0.19235836627141,0.366373902132999,4.45890410958904,0.0314642244732702,16.5124154599433,0,3.81033830557587,12.7020771543674,72.089733090448,0,9.71592480749998,2.428981201875,80.1563796618749,9.71592480749998,-99999,0,0,2.67,6.48537980901,0.00194606413994,25828,28446,-99999,-99999,0.00189034408756242,0.364611714217146,0.00220848053107878,0.43109144363956,-99999,-99999,-99999,-99999,14,4,12,1,7.33333333333333,"Provo-Orem, UT Metro Area",306,651,1222,740.96,753,970,570,184,254,213,0.424657534246575,0.424657534246575,0.150684931506849,230,0.888229364479771,0.440903894602826,0,2.61754743844848,0,0,2,0,7.113347,0.178557,-0.120557,-0.618602,0.147335,-0.215706,-0.254538,-0.017243,2.979167,0.033991,0.069671,-0.061032,0.054786,-0.150011,-0.003725,-0.189325,-0.189325,0.097201,-0.12605,-0.502966,-0.115827,-0.000803,165991,605490,256791,376981.44,332433,0.82325224198583,0.505299839799171,0.283974126819086,0.320061840173526,0.395960138789911,0.26837864703508,5.22431903158218,13.2732303402163,18.4975493717985,9.54768522822526,40.7523156161054,19.0797860389278,16.4813164902725,4285.14228747084,71.3187945752776,5264.25783101287,1066305.9329313
"490050006004","490050006004","49","005","000600","4",NA,NA,"30860","Logan, UT-ID",135615,55707,64142,78.1463634,0,78.1463634,77.09575,1600,457,409,0.732,0,0,80,0.195599022005,329,0.804400977995,387,167,141,79,0.431524547803618,28,0,9,3,6,10,0,9,3,6,10,0,0,0,17,10,1,0.607142857142857,5.92769380932153,20.7534137744298,0.363184741052522,0,0.116737952481168,0.038912650827056,0.0778253016541119,0.129708836090187,0,0.116737952481168,0.038912650827056,0.0778253016541119,0.129708836090187,0,0,0,6.29087855037405,0,0.0684596577017115,0.939154809808359,0.808943921972672,0.939154809808359,0.626103206538906,0.199728671538244,0.268180358500669,0.293287191219131,0.00265263076522821,0.0343980343980345,0.134939759036145,13.8214285714286,2.70224250726976e-06,30.45782030299,0,1.72836732173193,28.729452981258,338.646596573424,0,8.18976049754351,16.379520995087,401.298264379632,49.1385629852611,-99999,0,0,-99999,-99999,-99999,17906,18124,-99999,-99999,0.0180345684383973,0.926715660904668,0.0173650766884097,0.925165900969882,-99999,-99999,-99999,-99999,3,13,20,1,9.66666666666667,"Logan, UT-ID Metro Area",399,387,1500,1127.28,1104,1027,1060,167,141,79,0.607142857142857,0.357142857142857,0.0357142857142857,230,1.93552697416936,0.309823683553537,0,3.39213823728668,0,0,0,19,6.538675,0.193019,-0.081047,-0.598252,0.063351,-0.098369,-0.282434,-0.01635,2.952757,0.039092,0.0736,-0.06008,0.053744,-0.151556,-0.003672,-0.188022,-0.188022,0.098455,-0.125716,-0.50172,-0.115031,-0.000822,38393,124165,58535,80109.92,74608,0.836370957999436,0.500801353038296,0.30651746818143,0.354010421115572,0.339472110702998,0.143305290026828,3.91923993353421,12.0677993765839,15.9870393101181,12.9879851231033,31.9523338316293,19.9756043272126,14.2444520253152,3703.55752658196,84.1858308286302,2433.46013847389,316254.334257387
"490351126171","490351126171","49","035","112617","1","482","Salt Lake City-Provo-Orem, UT","41620","Salt Lake City, UT",1185990,689888,583540,122.2282621,0,122.2282621,120.88119,1216,352,352,0.596,0,0,9,0.0255681818182,343,0.974431818182,700,167,172,361,0.238571428571429,606,0,30,15,6,555,0,6,15,6,555,0,0,24,443,73,90,0.731023102310231,2.91195015535502,10.0594641730446,5.01318691518507,0,0.248177570058667,0.124088785029333,0.0496355140117333,4.59128504608533,0,0.0496355140117333,0.124088785029333,0.0496355140117333,4.59128504608533,0,0,0.198542056046933,7.92513707054009,0,1.72159090909091,0.264416405685729,0.227755894997735,0.243147850793902,0.188190608656614,0.552645295874957,0.262136110749126,0.286927509633398,0.431793404944436,0.665203073545554,0.92802450229709,1.15511551155116,0.856316257351349,22.3173085805098,0,0,22.3173085805098,113.497809439933,0,0,0,146.610936718865,15.7083146484499,-99999,0,0,-99999,-99999,-99999,84995,76463,-99999,-99999,0.00143145748881145,0.55770631426303,0.00157832488049602,0.678152050517951,-99999,-99999,-99999,-99999,12,2,15,1,7.66666666666667,"Salt Lake City, UT Metro Area",321,700,1053,788.48,847,859,482,167,172,361,0.731023102310231,0.12046204620462,0.148514851485149,230,1.36403601061773,1.79395487675392,0,3.14919594232218,0,0,0,38,7.370287,0.190085,-0.11295,-0.623098,0.127714,-0.184245,-0.271662,-0.018748,2.981732,0.032016,0.068209,-0.061373,0.054817,-0.151969,-0.00373,-0.188876,-0.188876,0.096696,-0.126128,-0.500261,-0.113016,-0.000795,374820,1133646,553274,756565.04,652645,0.710517216132726,0.501967104369442,0.245780571651659,0.339468328531614,0.414751099816727,0.277253188197002,3.34149376829486,9.80368109182883,13.1451748601237,10.4970783278873,37.2991368416064,17.3852638868853,11.7123508003702,3045.21120809625,90.1198016903034,3200.33372665826,494652.792193017
"490351110023","490351110023","49","035","111002","3","482","Salt Lake City-Provo-Orem, UT","41620","Salt Lake City, UT",1185990,689888,583540,429.0431894,0,429.0431894,419.56278,1596,512,495,0.577,0,0,45,0.0909090909091,450,0.909090909091,739,171,191,377,0.231393775372124,8885,228,3250,547,4380,480,228,3250,547,4073,480,77,230,0,1511,2259,5115,0.170061902082161,1.22031797005445,3.80395992227909,21.1768069608081,0.54342284603987,7.74615898960342,1.30373814378864,10.4394388844501,1.14404809692604,0.54342284603987,7.74615898960342,1.30373814378864,9.70772478912453,1.14404809692604,0.183524382215219,0.548189713110396,0,22.3971249308626,0,17.9494949494949,0.70821464511242,0.70821464511242,0.660071697932262,0.617685176700352,0.717883183518308,0.476500240466008,0.510338936031642,0.379692154580101,0.30455109245301,0.153574397339983,0.0831738885762521,0.399785905496186,19.591288878626,1.3217794617404,2.95515781283808,15.3143516040475,79.5876984966307,2.98338263285342,19.3919871135472,8.95014789856026,73.0928745049088,8.95014789856026,118.02,0,0,6.67,9.94958108057,0.00417919799499,88495,73664,51105,38609,0.00149040332339984,0.580672042834365,0.0015205488144182,0.653327657159075,0.00107724762378419,0.160857782268345,0.0013161396926378,0.205648146668584,17,12,12,20,15.5,"Salt Lake City, UT Metro Area",516,739,1637,1129.92,1373,1391,768,171,191,377,0.170061902082161,0.254248733821047,0.575689364096792,230,0.797650415382041,3.09904701127076,0.842333901047719,2.79204518693543,0,0,2,38,7.472892,0.190525,-0.112926,-0.625226,0.126589,-0.183705,-0.275965,-0.019189,2.979198,0.032942,0.068684,-0.060922,0.054818,-0.151729,-0.003728,-0.188745,-0.188745,0.096834,-0.126124,-0.501656,-0.113509,-0.000798,374820,1133646,553274,756565.04,652645,0.710517216132726,0.501967104369442,0.245780571651659,0.339468328531614,0.414751099816727,0.277253188197002,3.32947978151259,9.79592332564959,13.1254031071622,10.4970783278873,37.2991368416064,17.3852638868853,11.6947341684815,3040.63088380519,90.1935712216675,7421.03701287913,1736310.9858408
"490351128051","490351128051","49","035","112805","1","482","Salt Lake City-Provo-Orem, UT","41620","Salt Lake City, UT",1185990,689888,583540,205.8696353,0,205.8696353,205.86964,2028,584,539,0.622,0,0,74,0.137291280148,465,0.862708719852,1079,265,296,518,0.245597775718258,168,0,8,12,148,0,0,8,12,11,0,80,57,0,46,67,55,0.273809523809524,2.83674659362109,9.85089399291707,0.816050389945793,0,0.0388595423783711,0.0582893135675566,0.718901533999865,0,0,0.0388595423783711,0.0582893135675566,0.0534318707702602,0,0.388595423783711,0.276874239445894,0,3.65279698356688,0,0.311688311688312,0.405187139608618,0.2765832514229,0.765494386079523,0.592474307172199,0.471834902160471,0.39853168524801,0.434664118657097,0.756612362188875,0.153005464480874,0.269446672012831,6.42261904761905,0.00441556691050525,22.6823968251936,0,3.48935020631315,19.1930466188805,121.288406440384,0,21.7613442286989,6.2175269224854,118.133011527223,21.7613442286989,453.3,0,0.0200485748164648,1,3.10876346124,0.000493096646943,83774,75201,1830,4707,0.00141089381337361,0.549694555810001,0.00155227507864171,0.666959344401873,3.85747608164578e-05,0.00576009669408221,0.000160456617194077,0.0250715073265048,9,11,16,16,14,"Salt Lake City, UT Metro Area",506,1079,1948,1399.2,NA,1111,1018,265,296,518,0.273809523809524,0.398809523809524,0.327380952380952,230,1.34462476624341,0.596664027561647,0,3.00533831835942,0,0,0,38,7.370287,0.190085,-0.11295,-0.623098,0.127714,-0.184245,-0.271662,-0.018748,2.981732,0.032016,0.068209,-0.061373,0.054817,-0.151969,-0.00373,-0.188876,-0.188876,0.096696,-0.126128,-0.500261,-0.113016,-0.000795,374820,1133646,553274,756565.04,652645,0.710517216132726,0.501967104369442,0.245780571651659,0.339468328531614,0.414751099816727,0.277253188197002,4.36076112156351,13.0165998391142,17.3773609606777,10.4970783278873,37.2991368416064,17.3852638868853,15.4832286159638,4025.6394401506,74.329275382827,3824.58203501343,833141.756779101
"490351119043","490351119043","49","035","111904","3","482","Salt Lake City-Provo-Orem, UT","41620","Salt Lake City, UT",1185990,689888,583540,85.6611686,0,85.6611686,85.6611686,1271,764,679,0.651,170,0.250368188513,315,0.463917525773,194,0.285714285714,609,137,222,250,0.22495894909688,656,272,38,13,305,28,272,38,13,98,28,0,207,0,151,318,187,0.230182926829268,8.91886034811811,14.8375281445787,7.65807904236319,3.17530106634571,0.443608237210063,0.151760712729758,3.56053979865972,0.326869227417941,3.17530106634571,0.443608237210063,0.151760712729758,1.14404229596279,0.326869227417941,0,2.41649750269692,0,16.5769393904813,0,0.966126656848306,0.682496532925536,0.682496532925536,0.775968914284812,0.66861684838385,0.688013375113071,0.70145961372776,0.776534608577803,0.574091587674853,0.680851063829787,0.962845849802372,0.928353658536585,0.930860044205705,27.0127384234417,0,4.22540382230261,22.7873346011391,199.319251406991,0,97.1268561470454,7.4712966266958,156.897229160612,22.4138898800874,862.34,0,0,8,59.7703730136,0.00629425649095,102453,77545,98149,58608,0.00172547931173833,0.672259368376848,0.00160065917970867,0.687748332623812,0.00206889300512269,0.308933186025942,0.00199788430433619,0.312171425832122,16,14,19,13,15.6666666666667,"Salt Lake City, UT Metro Area",651,609,1260,949.52,783,932,478,137,222,250,0.230182926829268,0.484756097560976,0.285060975609756,230,2.29443803043479,2.15849287838019,0,3.16915327941424,0,0,4,38,7.308811,0.191093,-0.111525,-0.621727,0.124012,-0.17666,-0.27081,-0.01858,2.979117,0.032846,0.068618,-0.060971,0.054796,-0.151857,-0.003727,-0.188727,-0.188727,0.096816,-0.126152,-0.501373,-0.113207,-0.000798,374820,1133646,553274,756565.04,652645,0.710517216132726,0.501967104369442,0.245780571651659,0.339468328531614,0.414751099816727,0.277253188197002,2.57108846490252,12.0571400583722,14.6282285232747,10.4970783278873,37.2991368416064,17.3852638868853,13.0337516142378,3388.77541970183,84.5864443834684,2940.8827403105,346666.838954337
"490351128233","490351128233","49","035","112823","3","482","Salt Lake City-Provo-Orem, UT","41620","Salt Lake City, UT",1185990,689888,583540,552.0779859,0,552.0779859,552.0779859,2408,946,863,0.577,10,0.0115874855156,332,0.384704519119,521,0.603707995365,925,224,257,444,0.242162162162162,2824,508,258,119,1150,789,508,258,119,498,789,298,354,0,1270,992,562,0.44971671388102,1.71352603103315,4.36170262444801,5.11521935691079,0.920159855988201,0.467325281190858,0.215549257603535,2.08303904406778,1.42914591806041,0.920159855988201,0.467325281190858,0.215549257603535,0.902046472996307,1.42914591806041,0.539778813158433,0.641213757913038,0,6.82874538794393,0,3.27230590961761,0.859155155919649,0.859155155919649,0.935572755865314,0.875494927040496,0.894787195807608,0.716394970921754,0.788347591906923,0.413168830589099,0.920489296636086,0.493464923979728,0.327549575070822,0.51045620937511,20.1718232915081,0.585769390213205,3.41506288293222,16.1709910183627,143.415100804873,5.79628255740599,23.185130229624,12.7518216262932,137.951524866263,23.185130229624,1001.82,0.123973567663515,0.423604102525194,7,8.11479558037,0.00290697674419,92285,79076,10785,8176,0.00155423324142555,0.605540646058753,0.00163226159384412,0.701326805732936,0.000227338139565846,0.0339467993692222,0.000278711132818945,0.0435488939667524,20,20,17,13,16.6666666666667,"Salt Lake City, UT Metro Area",904,925,2475,1671.12,1758,1934,1259,224,257,444,0.44971671388102,0.351274787535411,0.199008498583569,230,0.998248907632908,1.81078064043537,0.461069709244092,2.84322139126139,0,0,2,38,7.131251,0.188517,-0.114477,-0.619942,0.132784,-0.189389,-0.262855,-0.017666,2.981732,0.032016,0.068209,-0.061373,0.054817,-0.151969,-0.00373,-0.188876,-0.188876,0.096696,-0.126128,-0.500261,-0.113016,-0.000795,374820,1133646,553274,756565.04,652645,0.710517216132726,0.501967104369442,0.245780571651659,0.339468328531614,0.414751099816727,0.277253188197002,3.6670843045916,10.6811337126422,14.3482180172338,10.4970783278873,37.2991368416064,17.3852638868853,12.7842622533553,3323.90818587239,85.6311794581926,6482.73781604548,2234227.85339794
