"Date","AQI","Ozone_AQI","PM10_AQI","PM25_AQI","NO2_AQI","Ozone","PM10","PM25","NO2"
2018-01-01,53,30,17,53,27,0.032,18,12.55,29
2018-01-02,60,29,21,60,32,0.031,22.5,14.25,34
2018-01-03,74,22,27,74,28,0.024,29,22.3,30
2018-01-04,95,24,37,95,28,0.026,40,29.35,30
2018-01-05,120,20,50,120,38,0.022,54,40.05,40
2018-01-06,96,19,33,96,26,0.02,36,31,28
2018-01-07,73,23,19,73,18,0.025,20,19.8,19
2018-01-08,44,22,10,44,17,0.024,11,9.6,18
2018-01-09,51,19,14,51,17,0.02,15,11.5,18
2018-01-10,39,39,4,8,13,0.042,4,1.7,14
2018-01-11,34,34,6,15,13,0.037,7,3.5,14
2018-01-12,35,35,6,8,21,0.038,6,1.8,22
2018-01-13,30,30,8,27,16,0.032,9,5.55,17
2018-01-14,33,30,10,33,21,0.032,11,6.93333333333333,22
2018-01-15,38,26,13,38,29,0.028,14,8.4,31
2018-01-16,33,27,13,33,28,0.029,14,7.5,30
2018-01-17,47,29,18,47,25,0.031,19,10.75,26
2018-01-18,54,22,21,54,26,0.024,23,12.5,28
2018-01-19,42,42,7,13,10,0.045,8,2.7,11
2018-01-20,37,37,4,12,6,0.039,3.5,2.4,6
2018-01-21,34,34,6,13,14,0.037,7,3,15
2018-01-22,41,29,10,41,23,0.031,11,8.8,24
2018-01-23,64,22,18.7512540330013,64,30,0.024,20.2707298954919,16.55,32
2018-01-24,72,22,27,72,27,0.024,29,20.3,29
2018-01-25,53,40,19,53,19,0.043,20,12.5,20
2018-01-26,34,34,7,17,27,0.037,7.5,3.73333333333333,29
2018-01-27,33,33,9,26,14,0.036,10,5.9,15
2018-01-28,38,31,14,38,17,0.033,15,8.55,18
2018-01-29,45,25,18,45,27,0.027,19,10.65,29
2018-01-30,38,31,17,38,17,0.033,18,8.7,18
2018-01-31,42,42,10,15,21,0.045,11,3.5,22
2018-02-01,36,36,10,17,12,0.039,11,3.875,13
2018-02-02,40,29,14,40,16,0.031,15,8.55,17
2018-02-03,34,34,20,11,7,0.037,22,2.56666666666667,7
2018-02-04,34,34,21,16,5,0.037,23,3.43333333333333,5
2018-02-05,36,36,6,5,4,0.039,6,1.26666666666667,4
2018-02-06,38,38,4,8,13,0.041,4,1.55,14
2018-02-07,36,36,17,18,16,0.039,17.5,3.575,17
2018-02-08,32,32,11,23,21,0.035,12,4.13333333333333,22
2018-02-09,38,38,10,12,7,0.041,11,2.13333333333333,7
2018-02-10,38,38,5,12,13,0.041,5,2.23333333333333,14
2018-02-11,35,35,6,14,10,0.038,7,3.1,11
2018-02-12,39,39,11,21,14,0.042,12,4.6,15
