"Date","Count"
2018-01-01,92
2018-01-02,104
2018-01-03,93
2018-01-04,85
2018-01-05,116
2018-01-06,59
2018-01-07,78
2018-01-08,138
2018-01-09,101
2018-01-10,153
2018-01-11,133
2018-01-12,179
2018-01-13,214
2018-01-14,184
2018-01-15,198
2018-01-16,179
2018-01-17,198
2018-01-18,179
2018-01-19,103
2018-01-20,75
2018-01-21,132
2018-01-22,136
2018-01-23,166
2018-01-24,140
2018-01-25,101
2018-01-26,120
2018-01-27,118
2018-01-28,125
2018-01-29,214
2018-01-30,204
2018-01-31,155
2018-02-01,197
2018-02-02,183
2018-02-03,209
2018-02-04,138
2018-02-05,165
2018-02-06,189
2018-02-07,156
2018-02-08,208
2018-02-09,218
2018-02-10,185
2018-02-11,158
2018-02-12,188
2018-02-13,197
2018-02-14,157
2018-02-15,152
2018-02-16,123
2018-02-17,167
2018-02-18,41
2018-02-19,50
2018-02-20,109
2018-02-21,118
2018-02-22,103
2018-02-23,79
2018-02-24,69
2018-02-25,73
2018-02-26,131
2018-02-27,118
2018-02-28,138
2018-03-01,137
2018-03-02,111
2018-03-03,94
2018-03-04,65
2018-03-05,87
2018-03-06,158
2018-03-07,110
2018-03-08,132
2018-03-09,108
2018-03-10,200
2018-03-11,215
2018-03-12,321
2018-03-13,303
2018-03-14,145
2018-03-15,113
2018-03-16,256
2018-03-17,85
2018-03-18,166
2018-03-19,222
2018-03-20,243
2018-03-21,181
2018-03-22,152
2018-03-23,200
2018-03-24,169
2018-03-25,68
2018-03-26,186
2018-03-27,280
2018-03-28,241
2018-03-29,275
2018-03-30,221
2018-03-31,176
2018-04-01,286
2018-04-02,113
2018-04-03,239
2018-04-04,212
2018-04-05,215
2018-04-06,139
2018-04-07,159
2018-04-08,155
2018-04-09,327
2018-04-10,316
2018-04-11,291
2018-04-12,92
2018-04-13,189
2018-04-14,219
2018-04-15,322
2018-04-16,255
2018-04-17,200
2018-04-18,276
2018-04-19,256
2018-04-20,266
2018-04-21,263
2018-04-22,256
2018-04-23,279
2018-04-24,305
2018-04-25,304
2018-04-26,271
2018-04-27,254
2018-04-28,210
2018-04-29,254
2018-04-30,129
2018-05-01,289
2018-05-02,198
2018-05-03,291
2018-05-04,222
2018-05-05,169
2018-05-06,178
2018-05-07,231
2018-05-08,226
2018-05-09,222
2018-05-10,188
2018-05-11,79
2018-05-12,106
2018-05-13,119
2018-05-14,246
2018-05-15,255
2018-05-16,276
2018-05-17,224
2018-05-18,169
2018-05-19,201
2018-05-20,189
2018-05-21,227
2018-05-22,235
2018-05-23,279
2018-05-24,200
2018-05-25,174
2018-05-26,161
2018-05-27,188
2018-05-28,146
2018-05-29,238
2018-05-30,224
2018-05-31,212
2018-06-01,255
2018-06-02,175
2018-06-03,156
2018-06-04,226
2018-06-05,231
2018-06-06,213
2018-06-07,198
2018-06-08,175
2018-06-09,135
2018-06-10,188
2018-06-11,259
2018-06-12,215
2018-06-13,246
2018-06-14,203
2018-06-15,241
2018-06-16,278
2018-06-17,94
2018-06-18,287
2018-06-19,296
2018-06-20,305
2018-06-21,217
2018-06-22,222
2018-06-23,160
2018-06-24,168
2018-06-25,264
2018-06-26,199
2018-06-27,221
2018-06-28,152
2018-06-29,213
2018-06-30,175
2018-07-01,148
2018-07-02,198
2018-07-03,198
2018-07-04,168
2018-07-05,146
2018-07-06,110
2018-07-07,128
2018-07-08,102
2018-07-09,134
2018-07-10,136
2018-07-11,161
2018-07-12,130
2018-07-13,168
2018-07-14,142
2018-07-15,99
2018-07-16,191
2018-07-17,187
2018-07-18,170
2018-07-19,171
2018-07-20,167
2018-07-21,130
2018-07-22,175
2018-07-23,207
2018-07-24,184
2018-07-25,161
2018-07-26,162
2018-07-27,135
2018-07-28,115
2018-07-29,151
2018-07-30,209
2018-07-31,143
2018-08-01,112
2018-08-02,148
2018-08-03,151
2018-08-04,66
2018-08-05,115.041392926295
2018-08-06,129.148321580691
2018-08-07,131.547218400793
2018-08-08,127.668137546802
