"Date","Count"
2018-01-01,134
2018-01-02,46
2018-01-03,37
2018-01-04,30
2018-01-05,39
2018-01-06,87
2018-01-07,69
2018-01-08,42
2018-01-09,26
2018-01-10,14
2018-01-11,29
2018-01-12,54
2018-01-13,57
2018-01-14,20
2018-01-15,36
2018-01-16,31
2018-01-17,22
2018-01-18,31
2018-01-19,14
2018-01-20,105
2018-01-21,102
2018-01-22,30
2018-01-23,64
2018-01-24,67
2018-01-25,31
2018-01-26,36
2018-01-27,100
2018-01-28,70
2018-01-29,29
2018-01-30,51
2018-01-31,35
2018-02-01,24
2018-02-02,30
2018-02-03,41
2018-02-04,18
2018-02-05,17
2018-02-06,18
2018-02-07,12
2018-02-08,19
2018-02-09,29
2018-02-10,48
2018-02-11,37
2018-02-12,21
2018-02-13,19
2018-02-14,23
2018-02-15,12
2018-02-16,18
2018-02-17,59
2018-02-18,16
2018-02-19,100
2018-02-20,49
2018-02-21,40
2018-02-22,20
2018-02-23,55
2018-02-24,91
2018-02-25,64
2018-02-26,41
2018-02-27,54
2018-02-28,64
2018-03-01,68
2018-03-02,38
2018-03-03,90
2018-03-04,45
2018-03-05,40
2018-03-06,50
2018-03-07,57
2018-03-08,62
2018-03-09,44
2018-03-10,75
2018-03-11,52
2018-03-12,32
2018-03-13,31
2018-03-14,5
2018-03-15,5
2018-03-16,22
2018-03-17,30
2018-03-18,24
2018-03-19,22
2018-03-20,16
2018-03-21,15
2018-03-22,8
2018-03-23,24
2018-03-24,35
2018-03-25,28
2018-03-26,20
2018-03-27,34
2018-03-28,16
2018-03-29,45
2018-03-30,43
2018-03-31,81
2018-04-01,124
2018-04-02,19
2018-04-03,54
2018-04-04,44
2018-04-05,56
2018-04-06,39
2018-04-07,58
2018-04-08,40
2018-04-09,73
2018-04-10,86
2018-04-11,85
2018-04-12,12
2018-04-13,34
2018-04-14,124
2018-04-15,144
2018-04-16,75
2018-04-17,27
2018-04-18,87
2018-04-19,85
2018-04-20,115
2018-04-21,305
2018-04-22,258
2018-04-23,128
2018-04-24,152
2018-04-25,190
2018-04-26,184
2018-04-27,215
2018-04-28,261
2018-04-29,180
2018-04-30,17
2018-05-01,103
2018-05-02,63
2018-05-03,149
2018-05-04,260
2018-05-05,340
2018-05-06,178
2018-05-07,132
2018-05-08,213
2018-05-09,195
2018-05-10,100
2018-05-11,20
2018-05-12,35
2018-05-13,123
2018-05-14,119
2018-05-15,171
2018-05-16,182
2018-05-17,228
2018-05-18,164
2018-05-19,357
2018-05-20,159
2018-05-21,148
2018-05-22,175
2018-05-23,109
2018-05-24,144
2018-05-25,147
2018-05-26,216
2018-05-27,67
2018-05-28,266
2018-05-29,81
2018-05-30,141
2018-05-31,107
2018-06-01,128
2018-06-02,278
2018-06-03,169
2018-06-04,166
2018-06-05,184
2018-06-06,154
2018-06-07,138
2018-06-08,121
2018-06-09,172
2018-06-10,155
2018-06-11,150
2018-06-12,133
2018-06-13,219
2018-06-14,96
2018-06-15,144
