"Date","Precipitation","Snow","Snowdepth_WE","Temp_Max","Temp_Min","HourlyRelativeHumidity","HourlyWindSpeed"
2018-01-01,0,0,3,30,15,66.9166666666667,1.25
2018-01-02,0,0,3,34,16,70.1190476190476,0.69047619047619
2018-01-03,0,0,3,30,13,70.9047619047619,0.952380952380952
2018-01-04,0,0,3,31,13,68.0357142857143,0.392857142857143
2018-01-05,0,0,3,39,15,66.9583333333333,1.70833333333333
2018-01-06,0,0,3.99827312529227,40,24,80.2586206896552,3.5
2018-01-07,0.26,2,5,32,26,86.8285714285714,1.48571428571429
2018-01-08,0,0,5,34,22,83.3125,2.08333333333333
2018-01-09,0.08,0,5,37,21,86.5869565217391,2.28260869565217
2018-01-10,0.31,0,3,45,32,70.1290322580645,6.35483870967742
2018-01-11,0,0,3,37,27,62.75,4.125
2018-01-12,0,0,2,44,28,61.7916666666667,3.8695652173913
2018-01-13,0,0,2,42,29,70.0416666666667,1.58333333333333
2018-01-14,0,0,1,45,27,70.48,1.88
2018-01-15,0,0,0,40,26,75.2307692307692,1.28205128205128
2018-01-16,0,0,0,41,26,66.0833333333333,2.33333333333333
2018-01-17,0,0,0,40,28,66,3.08333333333333
2018-01-18,0,0,0,42,32,71.0833333333333,2.5
2018-01-19,0,0,0,48,32,78.8666666666667,9.25
2018-01-20,0.28,0.268836777470031,0.689567022888907,48,26,82.6,4.04444444444444
2018-01-21,0,0,1.29652959932421,33,19,74.1142857142857,2.77142857142857
2018-01-22,0,0,2,33,15,76.2954545454545,2.84090909090909
2018-01-23,0.03,0.3,2,30,16,77.5652173913043,2.30434782608696
2018-01-24,0,0,1,32,18,75.0322580645161,1.67741935483871
2018-01-25,0,0,1,36,22,73.3333333333333,6.20833333333333
2018-01-26,0.14,1.7,3,44,22,68.2857142857143,2.96428571428571
2018-01-27,0,0,3,35,25,64.375,3.45833333333333
2018-01-28,0,0,3,38,27,64.5,2.875
2018-01-29,0,0,1,42,32,76.3829787234042,1.47619047619048
2018-01-30,0,0,0,43,32,54.25,5.95833333333333
2018-01-31,0,0,0,55,36,56.75,3.41666666666667
2018-02-01,0,0,0,41,33,56.2083333333333,2.625
2018-02-02,0,0,0,45,34,63.6666666666667,3.25
2018-02-03,0,0,0,48,38,57.9583333333333,4.47826086956522
2018-02-04,0,0,0,50,40,54.8333333333333,4.125
2018-02-05,0,0,0,51,44,51.4166666666667,7.83333333333333
2018-02-06,0,0,0,46,31,54.75,2.125
2018-02-07,0,0,0,41,32,54.4166666666667,2.83333333333333
2018-02-08,0,0,0,45,31,53.875,4
2018-02-09,0,0,0,54,34,38.3333333333333,8.71428571428571
2018-02-10,0,0,0,51,31,47.3333333333333,9.625
2018-02-11,0,0,0,41,16,53.25,3.75
2018-02-12,0,0,0,39,21,59.96,5.44
