"","ID1","CMODE6","CMODE5","MC","AGE","AGE2","RACE","GEND","EDUC","STUD","HHSIZE","HHMEMEMP","HHMEMSTU","HHMEM16L","HHMEM65P","HHINC","DISAB","DLIC","HHVEHBIKE","HHVEHAUTO","TPASS","VSHMEMAUTO","VSHMEMBIKE","HTYPE","HTEN","HDUR","WSELF","WDAYS1","WFLEX","TYPSAT","TYPSATTT","TTIDEAL","TPORT","DAYTempMax","DAYTempMin","DAYTempFrz","DAYTempAvgDev","DAYWeatherRAIN","DAYWeatherMIST","DAYWeatherFOG","DAYWeatherSNOW","DAYPrecip","DAYPrecipTrace","DAYPrecipTenth","DAYPrecipQuart","DAYPrecipHalf","alt","AV","GDIST","GTT","GCO","TAUSE3","TELIKE3","chid"
"1.B",10001,"Bicycling","Bike",TRUE,"18-34","18-34","White-alone","Female","Grad deg","No",2,0,0,0,0,"75-100k","No","Yes",2,1,"No","Yes","Yes","MF","Rented","5+ years","No",5,"Somewhat flexible","Somewhat satsified","Somewhat dissatisfied",15,"Yes",59,48,0,-0.1,1,0,0,0,0.05,1,0,0,0,"B",1,5.94900779448024,31.4666666666667,0,"Useful","Liked",1
"1.D",10001,"Bicycling","Bike",FALSE,"18-34","18-34","White-alone","Female","Grad deg","No",2,0,0,0,0,"75-100k","No","Yes",2,1,"No","Yes","Yes","MF","Rented","5+ years","No",5,"Somewhat flexible","Somewhat satsified","Somewhat dissatisfied",15,"Yes",59,48,0,-0.1,1,0,0,0,0.05,1,0,0,0,"D",1,6.26714984490575,28.1833333333333,4.78339373061322,"Wasted","Disliked",1
"1.T",10001,"Bicycling","Bike",FALSE,"18-34","18-34","White-alone","Female","Grad deg","No",2,0,0,0,0,"75-100k","No","Yes",2,1,"No","Yes","Yes","MF","Rented","5+ years","No",5,"Somewhat flexible","Somewhat satsified","Somewhat dissatisfied",15,"Yes",59,48,0,-0.1,1,0,0,0,0.05,1,0,0,0,"T",1,6.63686570428696,57.3,2.5,"Wasted","Liked",1
"2.B",10002,"Bicycling","Bike",TRUE,"18-34","18-34","White-alone","Male","Grad deg","Yes",2,1,0,0,0,"50-75k","No","Yes",2,1,"Yes","Yes","Yes","MF","Rented","5+ years","No",5,"Somewhat flexible","Somewhat satsified","Somewhat satsified",20,"No",61,45,0,-0.8,1,0,0,0,0.23,1,1,0,0,"B",1,3.76675216734272,21.9333333333333,0,"Useful","Liked",2
"2.T",10002,"Bicycling","Bike",FALSE,"18-34","18-34","White-alone","Male","Grad deg","Yes",2,1,0,0,0,"50-75k","No","Yes",2,1,"Yes","Yes","Yes","MF","Rented","5+ years","No",5,"Somewhat flexible","Somewhat satsified","Somewhat satsified",20,"No",61,45,0,-0.8,1,0,0,0,0.23,1,1,0,0,"T",1,4.00349459158514,31.95,1,"Useful","Liked",2
"2.W",10002,"Bicycling","Bike",FALSE,"18-34","18-34","White-alone","Male","Grad deg","Yes",2,1,0,0,0,"50-75k","No","Yes",2,1,"Yes","Yes","Yes","MF","Rented","5+ years","No",5,"Somewhat flexible","Somewhat satsified","Somewhat satsified",20,"No",61,45,0,-0.8,1,0,0,0,0.23,1,1,0,0,"W",1,3.45420245764734,73.0833333333333,0,"Wasted","Liked",2
"3.D",10004,"Public transit","Tran",FALSE,"18-34","18-34","White-alone","Male","Grad deg","No",2,0,0,0,0,"75-100k","No","Yes",3,1,"Yes","Yes","Yes","MF","Rented","0-5 years","No",5,"Neither flexible nor inflexible","Very satisfied","Very satisfied",15,"No",61,45,0,-0.8,1,0,0,0,0.23,1,1,0,0,"D",1,8.14555495903921,21.5,1.0181943698799,"Useful","Disliked",3
"3.T",10004,"Public transit","Tran",TRUE,"18-34","18-34","White-alone","Male","Grad deg","No",2,0,0,0,0,"75-100k","No","Yes",3,1,"Yes","Yes","Yes","MF","Rented","0-5 years","No",5,"Neither flexible nor inflexible","Very satisfied","Very satisfied",15,"No",61,45,0,-0.8,1,0,0,0,0.23,1,1,0,0,"T",1,7.42849260319733,27.6333333333333,1,"Useful","Liked",3
"4.B",10007,"Bicycling","Bike",TRUE,"35-44","35-44","White-alone","Male","UG deg","No",2,0,0,1,0,"75-100k","No","Yes",3,1,"No","Yes","No","SF","Owned","5+ years","No",5,"Somewhat flexible","Somewhat dissatisfied","Somewhat dissatisfied",5,"Yes",62,49,0,3.6,1,0,0,0,0.07,1,0,0,0,"B",1,10.5701453511493,61.7166666666667,0,"Useful","Liked",4
"4.D",10007,"Bicycling","Bike",FALSE,"35-44","35-44","White-alone","Male","UG deg","No",2,0,0,1,0,"75-100k","No","Yes",3,1,"No","Yes","No","SF","Owned","5+ years","No",5,"Somewhat flexible","Somewhat dissatisfied","Somewhat dissatisfied",5,"Yes",62,49,0,3.6,1,0,0,0,0.07,1,0,0,0,"D",1,12.1981378748111,29.75,1.52476723435139,"Wasted","Disliked",4
