"","ID1","CMODE6","CMODE5","MC","AGE","AGE2","RACE","GEND","EDUC","STUD","HHSIZE","HHMEMEMP","HHMEMSTU","HHMEM16L","HHMEM65P","HHINC","DISAB","DLIC","HHVEHBIKE","HHVEHAUTO","TPASS","VSHMEMAUTO","VSHMEMBIKE","HTYPE","HTEN","HDUR","WSELF","WDAYS1","WFLEX","TYPSAT","TYPSATTT","TTIDEAL","TPORT","DAYTempMax","DAYTempMin","DAYTempFrz","DAYTempAvgDev","DAYWeatherRAIN","DAYWeatherMIST","DAYWeatherFOG","DAYWeatherSNOW","DAYPrecip","DAYPrecipTrace","DAYPrecipTenth","DAYPrecipQuart","DAYPrecipHalf","AV_W","GDIST_W","GTT_W","GCO_W","TAUSE3_W","TELIKE3_W","AV_B","GDIST_B","GTT_B","GCO_B","TAUSE3_B","TELIKE3_B","AV_D","GDIST_D","GTT_D","GCO_D","TAUSE3_D","TELIKE3_D","AV_P","GDIST_P","GTT_P","GCO_P","TAUSE3_P","TELIKE3_P","AV_T","GDIST_T","GTT_T","GCO_T","TAUSE3_T","TELIKE3_T"
"1",10001,"Bicycling","Bike","B","18-34","18-34","White-alone","Female","Grad deg","No",2,0,0,0,0,"75-100k","No","Yes",2,1,"No","Yes","Yes","MF","Rented","5+ years","No",5,"Somewhat flexible","Somewhat satsified","Somewhat dissatisfied",15,"Yes",59,48,0,-0.1,1,0,0,0,0.05,1,0,0,0,0,5.38977372146663,109.4,0,NA,NA,1,5.94900779448024,31.4666666666667,0,"Useful","Liked",1,6.26714984490575,28.1833333333333,4.78339373061322,"Wasted","Disliked",0,6.26714984490575,27.1833333333333,2.39169686530661,NA,NA,1,6.63686570428696,57.3,2.5,"Wasted","Liked"
"2",10002,"Bicycling","Bike","B","18-34","18-34","White-alone","Male","Grad deg","Yes",2,1,0,0,0,"50-75k","No","Yes",2,1,"Yes","Yes","Yes","MF","Rented","5+ years","No",5,"Somewhat flexible","Somewhat satsified","Somewhat satsified",20,"No",61,45,0,-0.8,1,0,0,0,0.23,1,1,0,0,1,3.45420245764734,73.0833333333333,0,"Wasted","Liked",1,3.76675216734272,21.9333333333333,0,"Useful","Liked",0,3.57412709774915,28.9166666666667,5.44676588721864,NA,NA,0,3.57412709774915,25.4166666666667,2.72338294360932,NA,NA,1,4.00349459158514,31.95,1,"Useful","Liked"
"4",10004,"Public transit","Tran","T","18-34","18-34","White-alone","Male","Grad deg","No",2,0,0,0,0,"75-100k","No","Yes",3,1,"Yes","Yes","Yes","MF","Rented","0-5 years","No",5,"Neither flexible nor inflexible","Very satisfied","Very satisfied",15,"No",61,45,0,-0.8,1,0,0,0,0.23,1,1,0,0,0,7.58010717410324,159.466666666667,0,NA,NA,0,9.19442953153583,71.1,0,NA,NA,1,8.14555495903921,21.5,1.0181943698799,"Useful","Disliked",0,8.14555495903921,20.5,0.509097184939951,NA,NA,1,7.42849260319733,27.6333333333333,1,"Useful","Liked"
"7",10007,"Bicycling","Bike","B","35-44","35-44","White-alone","Male","UG deg","No",2,0,0,1,0,"75-100k","No","Yes",3,1,"No","Yes","No","SF","Owned","5+ years","No",5,"Somewhat flexible","Somewhat dissatisfied","Somewhat dissatisfied",5,"Yes",62,49,0,3.6,1,0,0,0,0.07,1,0,0,0,0,9.54550425514992,192.516666666667,0,NA,NA,1,10.5701453511493,61.7166666666667,0,"Useful","Liked",1,12.1981378748111,29.75,1.52476723435139,"Wasted","Disliked",0,12.1981378748111,28.75,0.762383617175694,NA,NA,0,11.1157092579337,51.3,2.5,NA,NA
"8",10008,"Bicycling","Bike","B","18-34","18-34","Non-white/multiple","Male","UG deg","No",1,0,0,0,0,"75-100k","No","Yes",2,1,"No","Yes","Yes","MF","Owned","0-5 years","No",5,"Somewhat flexible","Very satisfied","Very satisfied",15,"Yes",62,49,0,3.6,1,0,0,0,0.07,1,0,0,0,1,1.28934522389247,25.5,0,"Useful","Liked",1,1.62240018293168,10.2333333333333,0,"Useful","Liked",1,1.47948480871709,8.03333333333333,0.184935601089637,"Neither","Neither",0,1.47948480871709,7.03333333333333,0.0924678005448183,NA,NA,0,2.90615306609401,28.85,2.5,NA,NA
"10",10010,"Bicycling","Bike","B","18-34","18-34","White-alone","Male","UG deg","No",2,1,0,0,0,"100-150k","No","Yes",4,1,"No","Yes","Yes","SF","Rented","0-5 years","No",5,"Somewhat flexible","Somewhat satsified","Very satisfied",20,"No",61,50,0,1.6,1,1,0,0,0.44,1,1,1,0,1,4.67706096397041,95.9833333333333,0,"Useful","Liked",1,5.40344388769586,33.0833333333333,0,"Useful","Liked",0,6.13728326572815,15.0333333333333,0.767160408216018,NA,NA,1,6.13728326572815,14.0333333333333,0.383580204108009,"Wasted","Disliked",0,5.89246301598664,34.4833333333333,2.5,NA,NA
"11",10011,"Automobile, driver","AutoD","D","45-54","45-54","White-alone","Male","Grad deg","No",4,0,2,2,0,"100-150k","No","Yes",5,2,"No","No","Yes","SF","Owned","5+ years","No",5,"Neither flexible nor inflexible","Neither satsfied nor dissatisfied","Somewhat dissatisfied",20,"No",58,45,0,0.8,1,1,0,0,0.1,1,1,0,0,0,12.5442416288873,250.55,0,NA,NA,1,13.5819315199236,78.5333333333333,0,"Useful","Liked",1,12.7654497733238,31.9666666666667,1.59568122166547,"Neither","Liked",0,12.7654497733238,30.9666666666667,0.797840610832737,NA,NA,1,15.0694941541398,90.8166666666667,2.5,"Useful","Disliked"
"12",10012,"Automobile, driver","AutoD","D","55-64","55+","White-alone","Male","UG deg","No",2,0,0,0,1,"150k+","No","Yes",3,2,"No","No","No","MF","Rented","0-5 years","No",3,"Somewhat inflexible","Very satisfied","Very satisfied",15,"No",62,49,0,3.6,1,0,0,0,0.07,1,0,0,0,0,6.39888053766007,127.933333333333,0,NA,NA,1,7.35703491609003,44.35,0,"Useful","Liked",1,6.61138948540523,15.4166666666667,0.826423685675654,"Useful","Liked",0,6.61138948540523,14.4166666666667,0.413211842837827,NA,NA,0,8.23068281237573,51.8333333333333,2.5,NA,NA
"13",10013,"Automobile, driver","AutoD","D","55-64","55+","White-alone","Male","HS-col","No",2,0,0,0,0,"100-150k","No","Yes",3,2,"No","Yes","No","SF","Owned","5+ years","No",5,"Somewhat flexible","Somewhat satsified","Somewhat satsified",10,"No",56,48,0,2.7,1,1,0,0,0.09,1,0,0,0,0,11.7886542591267,246.35,0,NA,NA,1,13.5676399825022,101.283333333333,0,"Useful","Liked",1,12.6212916567247,32.6,1.57766145709059,"Wasted","Liked",1,12.6212916567247,31.6,0.788830728545295,"Neither","Neither",0,14.9433558021156,87.2666666666667,2.5,NA,NA
"14",10014,"Automobile, driver","AutoD","D","55-64","55+","Non-white/multiple","Male","Grad deg","No",7,0,3,3,2,"100-150k","No","Yes",8,4,"No","No","No","SF","Owned","5+ years","No",5,"Somewhat inflexible","Somewhat satsified","Somewhat satsified",10,"No",63,52,0,4.8,1,1,0,0,0.48,1,1,1,0,0,6.86987990137596,137.466666666667,0,NA,NA,1,7.7609261910443,45.3666666666667,0,"Useful","Liked",1,7.64286566451921,21.8166666666667,0.955358208064901,"Wasted","Liked",0,7.64286566451921,20.8166666666667,0.47767910403245,NA,"Liked",0,12.5759315596914,56.2333333333333,2.5,NA,NA
