"ID","HHCODE","PERCODE","DATE","ACT_TOT","ACT_MAND","ACT_SEMI","ACT_DISC","MODE_TOT","MODE_ACT","MODE_PUB","MODE_PRI","DIST_TOT","DIST_ACT","DIST_PUB","DIST_PRI","TIME_TOT","TIME_ACT","TIME_PUB","TIME_PRI","STAYHOME","NOMO_ACT","NOMO_PUB","NOMO_PRI","HTYPE2","HHINC3","HHKIDS2","HHNPER","HHBIKES2","HHNVEH","AGE3","RACE1","GEND2","EDUC3","STUDENT2","WORKER"
"1002_1",1002,1,2019-01-14,1,1,0,0,2,NA,NA,2,1.06875845064821,NA,NA,1.06875845064821,15,NA,NA,15,FALSE,TRUE,TRUE,FALSE,"Single-family","$35,000 to $74,999",0,2,2,1,"55 years and over","White-alone","Male","Bachelor or higher","No","Yes"
"1002_1",1002,1,2019-01-15,2,1,0,1,4,NA,NA,4,5.21641115883242,NA,NA,5.21641115883242,30,NA,NA,30,FALSE,TRUE,TRUE,FALSE,"Single-family","$35,000 to $74,999",0,2,2,1,"55 years and over","White-alone","Male","Bachelor or higher","No","Yes"
"1002_1",1002,1,2019-01-16,3,1,0,2,5,NA,NA,5,4.63915732124394,NA,NA,4.63915732124394,40,NA,NA,40,FALSE,TRUE,TRUE,FALSE,"Single-family","$35,000 to $74,999",0,2,2,1,"55 years and over","White-alone","Male","Bachelor or higher","No","Yes"
"1002_1",1002,1,2019-01-29,1,1,0,0,2,NA,NA,2,1.06875845064821,NA,NA,1.06875845064821,15,NA,NA,15,FALSE,TRUE,TRUE,FALSE,"Single-family","$35,000 to $74,999",0,2,2,1,"55 years and over","White-alone","Male","Bachelor or higher","No","Yes"
"1002_1",1002,1,2019-01-30,2,1,0,1,4,NA,NA,4,4.91007516105941,NA,NA,4.91007516105941,30,NA,NA,30,FALSE,TRUE,TRUE,FALSE,"Single-family","$35,000 to $74,999",0,2,2,1,"55 years and over","White-alone","Male","Bachelor or higher","No","Yes"
"1002_1",1002,1,2019-02-21,3,1,0,2,5,1,NA,4,55.4809910124871,0.502067923327766,NA,54.9789230891593,120,10,NA,110,FALSE,FALSE,TRUE,FALSE,"Single-family","$35,000 to $74,999",0,2,2,1,"55 years and over","White-alone","Male","Bachelor or higher","No","Yes"
"1003_1",1003,1,2019-01-14,2,2,0,0,4,NA,NA,4,3.53933031098385,NA,NA,3.53933031098385,30,NA,NA,30,FALSE,TRUE,TRUE,FALSE,"Single-family","$75,000 or more",0,2,0,2,"55 years and over","White-alone","Male","Bachelor or higher","No","Yes"
"1003_1",1003,1,2019-01-15,4,1,2,1,6,NA,NA,6,21.460918237493,NA,NA,21.460918237493,70,NA,NA,70,FALSE,TRUE,TRUE,FALSE,"Single-family","$75,000 or more",0,2,0,2,"55 years and over","White-alone","Male","Bachelor or higher","No","Yes"
"1003_1",1003,1,2019-01-30,3,2,0,1,6,NA,NA,6,6.60952537182852,NA,NA,6.60952537182852,30,NA,NA,30,FALSE,TRUE,TRUE,FALSE,"Single-family","$75,000 or more",0,2,0,2,"55 years and over","White-alone","Male","Bachelor or higher","No","Yes"
"1003_2",1003,2,2019-01-14,2,0,2,0,4,NA,NA,4,4.89267676767677,NA,NA,4.89267676767677,40,NA,NA,40,FALSE,TRUE,TRUE,FALSE,"Single-family","$75,000 or more",0,2,0,2,"55 years and over","White-alone","Female","Bachelor or higher","No","No"
"1003_2",1003,2,2019-01-15,4,0,3,1,7,NA,NA,7,10.6223405312972,NA,NA,10.6223405312972,55,NA,NA,55,FALSE,TRUE,TRUE,FALSE,"Single-family","$75,000 or more",0,2,0,2,"55 years and over","White-alone","Female","Bachelor or higher","No","No"
"1003_2",1003,2,2019-01-30,3,0,3,0,5,NA,NA,5,7.32348087170922,NA,NA,7.32348087170922,45,NA,NA,45,FALSE,TRUE,TRUE,FALSE,"Single-family","$75,000 or more",0,2,0,2,"55 years and over","White-alone","Female","Bachelor or higher","No","No"
"1004_1",1004,1,2019-01-14,1,0,0,1,2,NA,NA,2,1.89021116678597,NA,NA,1.89021116678597,20,NA,NA,20,FALSE,TRUE,TRUE,FALSE,"Multi-family","$35,000 to $74,999",1,2,2,2,"18 to 34 years","White-alone","Male","Less than bachelor","Yes","No"
"1004_2",1004,2,2019-01-14,3,2,0,1,4,2,NA,2,2.11390479599141,1.30363676131393,NA,0.810268034677483,85,75,NA,10,FALSE,FALSE,TRUE,FALSE,"Multi-family","$35,000 to $74,999",1,2,2,2,"18 to 34 years","White-alone","Female","Bachelor or higher","No","Yes"
"1005_1",1005,1,2019-01-14,2,2,0,0,3,NA,NA,3,19.8080708661417,NA,NA,19.8080708661417,50,NA,NA,50,FALSE,TRUE,TRUE,FALSE,"Multi-family","Less than $35,000",0,2,1,2,"18 to 34 years","White-alone","Male","Bachelor or higher","Yes","Yes"
"1005_1",1005,1,2019-01-15,3,2,0,1,5,NA,NA,5,23.7891960948063,NA,NA,23.7891960948063,80,NA,NA,80,FALSE,TRUE,TRUE,FALSE,"Multi-family","Less than $35,000",0,2,1,2,"18 to 34 years","White-alone","Male","Bachelor or higher","Yes","Yes"
"1005_1",1005,1,2019-01-29,3,2,1,0,5,NA,NA,5,20.8451393859858,NA,NA,20.8451393859858,55,NA,NA,55,FALSE,TRUE,TRUE,FALSE,"Multi-family","Less than $35,000",0,2,1,2,"18 to 34 years","White-alone","Male","Bachelor or higher","Yes","Yes"
"1005_1",1005,1,2019-01-30,4,2,1,1,6,NA,NA,6,29.7866708422811,NA,NA,29.7866708422811,85,NA,NA,85,FALSE,TRUE,TRUE,FALSE,"Multi-family","Less than $35,000",0,2,1,2,"18 to 34 years","White-alone","Male","Bachelor or higher","Yes","Yes"
"1005_1",1005,1,2019-02-21,2,2,0,0,3,NA,NA,3,19.8080708661417,NA,NA,19.8080708661417,45,NA,NA,45,FALSE,TRUE,TRUE,FALSE,"Multi-family","Less than $35,000",0,2,1,2,"18 to 34 years","White-alone","Male","Bachelor or higher","Yes","Yes"
"1005_1",1005,1,2019-02-22,2,2,0,0,3,NA,NA,3,19.8080708661417,NA,NA,19.8080708661417,45,NA,NA,45,FALSE,TRUE,TRUE,FALSE,"Multi-family","Less than $35,000",0,2,1,2,"18 to 34 years","White-alone","Male","Bachelor or higher","Yes","Yes"
"1005_2",1005,2,2019-01-14,2,1,0,1,3,NA,NA,3,12.5405134017339,NA,NA,12.5405134017339,45,NA,NA,45,FALSE,TRUE,TRUE,FALSE,"Multi-family","Less than $35,000",0,2,1,2,"18 to 34 years","White-alone","Female","Less than bachelor","No","No"
"1005_2",1005,2,2019-01-15,1,0,0,1,2,NA,NA,2,3.94197884355365,NA,NA,3.94197884355365,25,NA,NA,25,FALSE,TRUE,TRUE,FALSE,"Multi-family","Less than $35,000",0,2,1,2,"18 to 34 years","White-alone","Female","Less than bachelor","No","No"
"1005_2",1005,2,2019-01-29,1,0,1,0,2,NA,NA,2,1.03706851984411,NA,NA,1.03706851984411,15,NA,NA,15,FALSE,TRUE,TRUE,FALSE,"Multi-family","Less than $35,000",0,2,1,2,"18 to 34 years","White-alone","Female","Less than bachelor","No","No"
"1005_2",1005,2,2019-01-30,2,0,1,1,3,NA,NA,3,9.97859997613934,NA,NA,9.97859997613934,40,NA,NA,40,FALSE,TRUE,TRUE,FALSE,"Multi-family","Less than $35,000",0,2,1,2,"18 to 34 years","White-alone","Female","Less than bachelor","No","No"
"1005_2",1005,2,2019-02-21,1,1,0,0,2,NA,NA,2,4.94052234947904,NA,NA,4.94052234947904,20,NA,NA,20,FALSE,TRUE,TRUE,FALSE,"Multi-family","Less than $35,000",0,2,1,2,"18 to 34 years","White-alone","Female","Less than bachelor","No","No"
"1005_2",1005,2,2019-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"Multi-family","Less than $35,000",0,2,1,2,"18 to 34 years","White-alone","Female","Less than bachelor","No","No"
"1006_1",1006,1,2019-01-14,1,1,0,0,2,NA,NA,2,16.4688220790583,NA,NA,16.4688220790583,30,NA,NA,30,FALSE,TRUE,TRUE,FALSE,"Single-family","Less than $35,000",0,2,1,2,"18 to 34 years","White-alone","Male","Less than bachelor","Yes","Yes"
"1006_1",1006,1,2019-01-15,2,1,0,1,4,NA,NA,4,7.3265877276704,NA,NA,7.3265877276704,35,NA,NA,35,FALSE,TRUE,TRUE,FALSE,"Single-family","Less than $35,000",0,2,1,2,"18 to 34 years","White-alone","Male","Less than bachelor","Yes","Yes"
"1006_1",1006,1,2019-01-29,4,1,3,0,6,NA,NA,6,10.5142219438479,NA,NA,10.5142219438479,35,NA,NA,35,FALSE,TRUE,TRUE,FALSE,"Single-family","Less than $35,000",0,2,1,2,"18 to 34 years","White-alone","Male","Less than bachelor","Yes","Yes"
"1006_1",1006,1,2019-01-30,1,1,0,0,2,NA,NA,2,16.4688220790583,NA,NA,16.4688220790583,40,NA,NA,40,FALSE,TRUE,TRUE,FALSE,"Single-family","Less than $35,000",0,2,1,2,"18 to 34 years","White-alone","Male","Less than bachelor","Yes","Yes"
"1006_1",1006,1,2019-02-21,1,1,0,0,2,NA,NA,2,5.60663226755746,NA,NA,5.60663226755746,15,NA,NA,15,FALSE,TRUE,TRUE,FALSE,"Single-family","Less than $35,000",0,2,1,2,"18 to 34 years","White-alone","Male","Less than bachelor","Yes","Yes"
"1006_2",1006,2,2019-01-14,3,1,0,2,5,NA,NA,5,7.83114113576712,NA,NA,7.83114113576712,45,NA,NA,45,FALSE,TRUE,TRUE,FALSE,"Single-family","Less than $35,000",0,2,1,2,"18 to 34 years","White-alone","Female","Less than bachelor","Yes","Yes"
"1006_2",1006,2,2019-01-15,2,2,0,0,4,NA,NA,4,11.2132645351149,NA,NA,11.2132645351149,55,NA,NA,55,FALSE,TRUE,TRUE,FALSE,"Single-family","Less than $35,000",0,2,1,2,"18 to 34 years","White-alone","Female","Less than bachelor","Yes","Yes"
