"Date","Daily.Mean.PM2.5.Concentration","DAILY_AQI_VALUE","AQIALL","AQI","AQI_GRE","AQI_YEL","AQI_ORA","AQI_RED","AQI_PUR","AQI_MAR"
2018-01-01,12.55,51.5,"Yellow","Yellow",0,1,0,0,0,0
2018-01-02,14.25,55,"Yellow","Yellow",0,1,0,0,0,0
2018-01-03,22.3,72.5,"Yellow","Yellow",0,1,0,0,0,0
2018-01-04,29.35,87.5,"Yellow","Yellow",0,1,0,0,0,0
2018-01-05,40.05,112,"Orange","Orange",0,0,1,0,0,0
2018-01-06,31,90.5,"Yellow","Yellow",0,1,0,0,0,0
2018-01-07,19.8,67.5,"Yellow","Yellow",0,1,0,0,0,0
2018-01-08,9.6,40,"Green","Green",1,0,0,0,0,0
2018-01-09,11.5,48,"Green","Green",1,0,0,0,0,0
2018-01-10,1.7,7,"Green","Green",1,0,0,0,0,0
2018-01-11,3.5,14.5,"Green","Green",1,0,0,0,0,0
2018-01-12,1.8,7.5,"Green","Green",1,0,0,0,0,0
2018-01-13,5.55,23.5,"Green","Green",1,0,0,0,0,0
2018-01-14,6.93333333333333,29,"Green","Green",1,0,0,0,0,0
2018-01-15,8.4,35,"Green","Green",1,0,0,0,0,0
2018-01-16,7.5,31,"Green","Green",1,0,0,0,0,0
2018-01-17,10.75,45,"Green","Green",1,0,0,0,0,0
2018-01-18,12.5,51,"Yellow","Yellow",0,1,0,0,0,0
2018-01-19,2.7,11.5,"Green","Green",1,0,0,0,0,0
2018-01-20,2.4,10,"Green","Green",1,0,0,0,0,0
2018-01-21,3,12.5,"Green","Green",1,0,0,0,0,0
2018-01-22,8.8,37,"Green","Green",1,0,0,0,0,0
2018-01-23,16.55,60,"Yellow","Yellow",0,1,0,0,0,0
2018-01-24,20.3,68,"Yellow","Yellow",0,1,0,0,0,0
2018-01-25,12.5,52,"Yellow","Yellow",0,1,0,0,0,0
2018-01-26,3.73333333333333,15.3333333333333,"Green","Green",1,0,0,0,0,0
2018-01-27,5.9,24.5,"Green","Green",1,0,0,0,0,0
2018-01-28,8.55,36,"Green","Green",1,0,0,0,0,0
2018-01-29,10.65,44,"Green","Green",1,0,0,0,0,0
2018-01-30,8.7,36.5,"Green","Green",1,0,0,0,0,0
2018-01-31,3.5,14.5,"Green","Green",1,0,0,0,0,0
2018-02-01,3.875,16.25,"Green","Green",1,0,0,0,0,0
2018-02-02,8.55,36,"Green","Green",1,0,0,0,0,0
2018-02-03,2.56666666666667,10.6666666666667,"Green","Green",1,0,0,0,0,0
2018-02-04,3.43333333333333,14.3333333333333,"Green","Green",1,0,0,0,0,0
2018-02-05,1.26666666666667,5,"Green","Green",1,0,0,0,0,0
2018-02-06,1.55,6.5,"Green","Green",1,0,0,0,0,0
2018-02-07,3.575,15,"Green","Green",1,0,0,0,0,0
2018-02-08,4.13333333333333,17.3333333333333,"Green","Green",1,0,0,0,0,0
2018-02-09,2.13333333333333,9,"Green","Green",1,0,0,0,0,0
2018-02-10,2.23333333333333,9.33333333333333,"Green","Green",1,0,0,0,0,0
2018-02-11,3.1,13,"Green","Green",1,0,0,0,0,0
2018-02-12,4.6,19.3333333333333,"Green","Green",1,0,0,0,0,0
2018-02-13,7.225,30.25,"Green","Green",1,0,0,0,0,0
2018-02-14,6.96666666666667,29,"Green","Green",1,0,0,0,0,0
2018-02-15,1.6,6.33333333333333,"Green","Green",1,0,0,0,0,0
2018-02-16,3.4,14,"Green","Green",1,0,0,0,0,0
2018-02-17,1.96666666666667,8.33333333333333,"Green","Green",1,0,0,0,0,0
2018-02-18,3.3,14,"Green","Green",1,0,0,0,0,0
2018-02-19,1.875,8,"Green","Green",1,0,0,0,0,0
2018-02-20,2.83333333333333,11.6666666666667,"Green","Green",1,0,0,0,0,0
2018-02-21,6.7,27.6666666666667,"Green","Green",1,0,0,0,0,0
2018-02-22,14.3333333333333,55.6666666666667,"Yellow","Yellow",0,1,0,0,0,0
2018-02-23,12.7666666666667,52.3333333333333,"Yellow","Yellow",0,1,0,0,0,0
2018-02-24,5.56666666666667,23.3333333333333,"Green","Green",1,0,0,0,0,0
2018-02-25,1.45,6,"Green","Green",1,0,0,0,0,0
2018-02-26,2,8.66666666666667,"Green","Green",1,0,0,0,0,0
2018-02-27,4.46666666666667,18.6666666666667,"Green","Green",1,0,0,0,0,0
2018-02-28,6.13333333333333,25.6666666666667,"Green","Green",1,0,0,0,0,0
2018-03-01,10.8666666666667,45.3333333333333,"Green","Green",1,0,0,0,0,0
2018-03-02,3.73333333333333,15.6666666666667,"Green","Green",1,0,0,0,0,0
2018-03-03,3.16666666666667,13.3333333333333,"Green","Green",1,0,0,0,0,0
2018-03-04,1,4.33333333333333,"Green","Green",1,0,0,0,0,0
2018-03-05,1.6,6.66666666666667,"Green","Green",1,0,0,0,0,0
2018-03-06,5.75,24,"Green","Green",1,0,0,0,0,0
2018-03-07,13.0666666666667,53,"Yellow","Yellow",0,1,0,0,0,0
2018-03-08,29.4666666666667,87.3333333333333,"Yellow","Yellow",0,1,0,0,0,0
2018-03-09,32.375,94,"Yellow","Yellow",0,1,0,0,0,0
2018-03-10,7.63333333333333,31.6666666666667,"Green","Green",1,0,0,0,0,0
2018-03-11,4.03333333333333,16.6666666666667,"Green","Green",1,0,0,0,0,0
2018-03-12,8.575,35.25,"Green","Green",1,0,0,0,0,0
2018-03-13,7.225,30,"Green","Green",1,0,0,0,0,0
2018-03-14,3.7,15.5,"Green","Green",1,0,0,0,0,0
2018-03-15,1.66,6.8,"Green","Green",1,0,0,0,0,0
2018-03-16,1.025,4.25,"Green","Green",1,0,0,0,0,0
2018-03-17,1.075,4.5,"Green","Green",1,0,0,0,0,0
2018-03-18,1.2,5,"Green","Green",1,0,0,0,0,0
2018-03-19,2.075,8.75,"Green","Green",1,0,0,0,0,0
2018-03-20,3.325,13.75,"Green","Green",1,0,0,0,0,0
2018-03-21,4.3,18,"Green","Green",1,0,0,0,0,0
2018-03-22,5.45,22.5,"Green","Green",1,0,0,0,0,0
2018-03-23,1.175,5,"Green","Green",1,0,0,0,0,0
2018-03-24,1.925,8,"Green","Green",1,0,0,0,0,0
2018-03-25,1.7,7.25,"Green","Green",1,0,0,0,0,0
2018-03-26,1.55,6.5,"Green","Green",1,0,0,0,0,0
2018-03-27,1.72,7.4,"Green","Green",1,0,0,0,0,0
2018-03-28,2.35,9.75,"Green","Green",1,0,0,0,0,0
2018-03-29,3.325,14,"Green","Green",1,0,0,0,0,0
2018-03-30,3.8,16,"Green","Green",1,0,0,0,0,0
2018-03-31,2.65,11.25,"Green","Green",1,0,0,0,0,0
2018-04-01,2.65,11,"Green","Green",1,0,0,0,0,0
2018-04-02,2.1,9,"Green","Green",1,0,0,0,0,0
2018-04-03,1.9,8,"Green","Green",1,0,0,0,0,0
2018-04-04,3.875,16,"Green","Green",1,0,0,0,0,0
2018-04-05,4.4,18.5,"Green","Green",1,0,0,0,0,0
2018-04-06,2.2,9.25,"Green","Green",1,0,0,0,0,0
2018-04-07,3.3,14,"Green","Green",1,0,0,0,0,0
2018-04-08,1.24,5,"Green","Green",1,0,0,0,0,0
2018-04-09,1.45,6.25,"Green","Green",1,0,0,0,0,0
2018-04-10,4.65,19.75,"Green","Green",1,0,0,0,0,0
2018-04-11,4.425,18.75,"Green","Green",1,0,0,0,0,0
2018-04-12,1.675,7,"Green","Green",1,0,0,0,0,0
2018-04-13,1.425,5.75,"Green","Green",1,0,0,0,0,0
2018-04-14,2.76,11.6,"Green","Green",1,0,0,0,0,0
2018-04-15,3.975,16.25,"Green","Green",1,0,0,0,0,0
2018-04-16,4.4,18.25,"Green","Green",1,0,0,0,0,0
2018-04-17,1.525,6.5,"Green","Green",1,0,0,0,0,0
2018-04-18,2.425,10.25,"Green","Green",1,0,0,0,0,0
2018-04-19,3.15,13.25,"Green","Green",1,0,0,0,0,0
2018-04-20,3.64,15.2,"Green","Green",1,0,0,0,0,0
2018-04-21,5.175,21.75,"Green","Green",1,0,0,0,0,0
2018-04-22,4.2,17.75,"Green","Green",1,0,0,0,0,0
2018-04-23,3.75,15.75,"Green","Green",1,0,0,0,0,0
2018-04-24,4.575,19.25,"Green","Green",1,0,0,0,0,0
2018-04-25,4.325,18,"Green","Green",1,0,0,0,0,0
2018-04-26,5.4,22.6,"Green","Green",1,0,0,0,0,0
2018-04-27,6.5,27.25,"Green","Green",1,0,0,0,0,0
2018-04-28,5.55,23,"Green","Green",1,0,0,0,0,0
2018-04-29,3.875,16,"Green","Green",1,0,0,0,0,0
2018-04-30,1.65,7,"Green","Green",1,0,0,0,0,0
2018-05-01,1.85,7.75,"Green","Green",1,0,0,0,0,0
2018-05-02,2.36,9.8,"Green","Green",1,0,0,0,0,0
2018-05-03,4.275,18,"Green","Green",1,0,0,0,0,0
2018-05-04,4.9,20.5,"Green","Green",1,0,0,0,0,0
2018-05-05,5.175,21.75,"Green","Green",1,0,0,0,0,0
2018-05-06,5.675,23.75,"Green","Green",1,0,0,0,0,0
2018-05-07,5.9,24.5,"Green","Green",1,0,0,0,0,0
2018-05-08,4.36,18.2,"Green","Green",1,0,0,0,0,0
2018-05-09,4.4,18.25,"Green","Green",1,0,0,0,0,0
2018-05-10,3.4,14.25,"Green","Green",1,0,0,0,0,0
2018-05-11,3.325,13.75,"Green","Green",1,0,0,0,0,0
2018-05-12,3.05,13,"Green","Green",1,0,0,0,0,0
2018-05-13,1.9,8,"Green","Green",1,0,0,0,0,0
2018-05-14,2.84,11.6,"Green","Green",1,0,0,0,0,0
2018-05-15,4.925,20.75,"Green","Green",1,0,0,0,0,0
2018-05-16,3.9,16.25,"Green","Green",1,0,0,0,0,0
2018-05-17,4.15,17,"Green","Green",1,0,0,0,0,0
2018-05-18,3.75,15.5,"Green","Green",1,0,0,0,0,0
2018-05-19,4.2,17.75,"Green","Green",1,0,0,0,0,0
2018-05-20,3.36,14,"Green","Green",1,0,0,0,0,0
2018-05-21,4.45,18.25,"Green","Green",1,0,0,0,0,0
2018-05-22,4.675,19.5,"Green","Green",1,0,0,0,0,0
2018-05-23,2.975,12.5,"Green","Green",1,0,0,0,0,0
2018-05-24,5.025,21,"Green","Green",1,0,0,0,0,0
2018-05-25,5.775,24,"Green","Green",1,0,0,0,0,0
2018-05-26,5.72,23.8,"Green","Green",1,0,0,0,0,0
2018-05-27,3.7,15.5,"Green","Green",1,0,0,0,0,0
2018-05-28,4.65,19.5,"Green","Green",1,0,0,0,0,0
2018-05-29,6.725,28.25,"Green","Green",1,0,0,0,0,0
2018-05-30,6.6,27.5,"Green","Green",1,0,0,0,0,0
2018-05-31,4.975,20.75,"Green","Green",1,0,0,0,0,0
2018-06-01,1.7,9,"Green","Green",1,0,0,0,0,0
2018-06-02,4.375,18.25,"Green","Green",1,0,0,0,0,0
2018-06-03,4.5,18.75,"Green","Green",1,0,0,0,0,0
2018-06-04,5.125,21.25,"Green","Green",1,0,0,0,0,0
2018-06-05,5.575,23.5,"Green","Green",1,0,0,0,0,0
2018-06-06,6.025,25,"Green","Green",1,0,0,0,0,0
2018-06-07,7.12,29.8,"Green","Green",1,0,0,0,0,0
2018-06-08,7.825,32.75,"Green","Green",1,0,0,0,0,0
2018-06-09,8.4,35,"Green","Green",1,0,0,0,0,0
2018-06-10,2.775,11.75,"Green","Green",1,0,0,0,0,0
2018-06-11,3.9,16.25,"Green","Green",1,0,0,0,0,0
2018-06-12,3.86666666666667,16.3333333333333,"Green","Green",1,0,0,0,0,0
2018-06-13,6.45,27,"Green","Green",1,0,0,0,0,0
2018-06-14,8.66666666666667,36,"Green","Green",1,0,0,0,0,0
2018-06-15,6.66666666666667,28,"Green","Green",1,0,0,0,0,0
2018-06-16,5.86666666666667,24.6666666666667,"Green","Green",1,0,0,0,0,0
2018-06-17,8.3,34.6666666666667,"Green","Green",1,0,0,0,0,0
2018-06-18,5.66666666666667,23.6666666666667,"Green","Green",1,0,0,0,0,0
2018-06-19,3.58,15.2,"Green","Green",1,0,0,0,0,0
2018-06-20,3.95,16.5,"Green","Green",1,0,0,0,0,0
2018-06-21,5.55,23,"Green","Green",1,0,0,0,0,0
2018-06-22,4.35,18,"Green","Green",1,0,0,0,0,0
2018-06-23,6.25,26,"Green","Green",1,0,0,0,0,0
