"ROUTE","MP_BEG","MP_END","DIST","URBAN","FUNCLASS","SPEEDLIM","LN_THRU_WIDTH","LN_TOTAL","LN_THRU","LN_LTURN","LN_RTURN","LN_TWOWAY","LN_TWMED","LN_ACCEL","LN_DECEL","LN_PASS","LN_AUX","LN_HOV","LN_TRAN","LN_BIKE","LN_GRAVEL","LN_OTHER","LN_LSHLDR","LN_RSHLDR","LN_ISLPNT","LN_ISLRDS","YEAR","AADT","SUTRK","CUTRK","CRASH_ALL","CRASH_K","CRASH_A","CRASH_B","CRASH_C","CRASH_O","CRASH_ONEVEH","CRASH_SEATBELT","CRASH_PED","CRASH_BIKE"
"0006N",236.336,238.512,2.17599999999999,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"0006N",238.512,239.447,0.935000000000002,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"0006N",239.447,239.519,0.0720000000000027,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"0006N",239.519,239.62,0.100999999999999,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"0006P",0,0.665,0.665,FALSE,"Other Principal Arterial",65,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",0.665,1.235,0.57,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",1.235,1.771,0.536,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",1.771,1.86,0.0890000000000002,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",1.86,2.331,0.471,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",2.331,2.988,0.657,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",2.988,3.67,0.682,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",3.67,4.689,1.019,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",4.689,6.06,1.371,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",6.06,8.775,2.715,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",8.775,8.934,0.158999999999999,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",8.934,10.003,1.069,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",10.003,10.726,0.723000000000001,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",10.726,11.5,0.773999999999999,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",11.5,12.504,1.004,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",12.504,12.634,0.130000000000001,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",12.634,12.675,0.0410000000000004,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",12.675,13.611,0.936,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",13.611,14.524,0.912999999999998,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",14.524,15.093,0.569000000000001,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",15.093,15.505,0.412000000000001,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",15.505,16.022,0.516999999999998,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",16.022,17.05,1.028,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",17.05,17.268,0.218,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",17.268,17.611,0.343,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",17.611,17.7,0.0889999999999986,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",17.7,18.115,0.414999999999999,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
